width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
0.005628517823639775,0.006858710562414265,0.17797228300510576,0.2510748065348237,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1
0.6166353971232019,0.4650205761316872,0.2990517870167761,0.3757523645743766,0.34901962,0.78431374,0.0,0.101960786,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.005628517823639775,0.006858710562414265,0.17797228300510576,0.2510748065348237,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1
0.6166353971232019,0.4650205761316872,0.2990517870167761,0.3757523645743766,0.34901962,0.78431374,0.0,0.101960786,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.005628517823639775,0.006858710562414265,0.17797228300510576,0.2510748065348237,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1
0.6166353971232019,0.4650205761316872,0.2990517870167761,0.3757523645743766,0.34901962,0.78431374,0.0,0.101960786,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.01938711694809256,0.04252400548696845,0.5149525893508388,0.4196044711951849,0.34901962,0.78431374,0.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.22764227642276422,0.7224199288256228,0.7217391304347827,0.06417582417582418,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.22764227642276422,0.5884057971014494,0.7217391304347827,0.06870588235294117,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
0.22764227642276422,0.7328519855595668,0.7217391304347827,0.09437621202327084,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1
1.0,1.0,0.70509977827051,0.9480314960629922,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,1.0,0.0,0.07758620689655173,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.37597911227154046,0.4343891402714932,0.6416382252559727,0.6116152450090744,1.0,0.011764706,0.011764706,0.078431375,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
0.835509138381201,0.11312217194570137,0.08191126279863481,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.22641509433962265,0.007518796992481203,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.47896440129449847,1.0,0.593984962406015,0.573502722323049,1.0,0.011764706,0.011764706,0.078431375,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.22641509433962265,0.007518796992481203,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.47896440129449847,1.0,0.593984962406015,0.573502722323049,1.0,0.011764706,0.011764706,0.078431375,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
0.2552083333333333,0.5333333333333333,0.5089959373186304,0.6918604651162791,0.34117648,0.18431373,0.11372549,0.6117647,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,-1
